"Country","Region","Presence","Year First Detected","Pest Extent"
"Bulgaria",NA,"Present: no details",1929,3
"Croatia",NA,"Present: no details",1950,3
"France",NA,"Present: no details",1972,3
"Greece",NA,"Present: no details",2000,3
"Hungary",NA,"Present: no details",2007,3
"Italy",NA,"Present: no details",2010,3
"Portugal",NA,"Present: no details",1952,3
"Romania",NA,"Present: no details",1987,3
"Russia","Southern Russia","Present: no details",2001,3
"Spain","Andalucia","Present: no details",2013,3
"Ukraine",NA,"Present: no details",1992,3
"Afghanistan",NA,"Present: no details",1962,3
"Bangladesh",NA,"Present: no details",2016,3
"Bhutan",NA,"Present: no details",2011,3
"Brunei Darussalam",NA,"Present: no details",1963,3
"Cambodia",NA,"Present: no details",2014,3
"China","Anhui","Present: no details",2014,3
"China","Fujian","Present: no details",1999,3
"China","Gansu","Present: no details",1986,3
"China","Guangdong","Present: no details",2008,3
"China","Guangxi","Present: no details",2017,3
"China","Guizhou","Present: no details",2014,3
"China","Hainan","Present: no details",1990,3
"China","Hebei","Present: no details",2015,3
"China","Heilongjiang","Present: no details",1992,3
"China","Henan","Present: no details",2015,3
"China","Hong Kong","Present: no details",2000,3
"China","Hubei","Present: no details",2016,3
"China","Hunan","Present: no details",2014,3
"China","Jiangsu","Present: no details",2015,3
"China","Jiangxi","Present: no details",2014,3
"China","Jilin","Present: no details",1987,3
"China","Liaoning","Present: no details",2013,3
"China","Nei Menggu","Present: no details",1983,3
"China","Ningxia","Present: no details",1998,3
"China","Qinghai","Present: no details",1990,3
"China","Shaanxi","Present: no details",1990,3
"China","Shandong","Present: no details",1990,3
"China","Shanxi","Present: no details",1987,3
"China","Sichuan","Present: no details",2013,3
"China","Xinjiang","Present: no details",1990,3
"China","Yunnan","Present: no details",2012,3
"China","Zhejiang","Present: no details",2015,3
"Georgia",NA,"Present: no details",1983,3
"India",NA,"Present: no details",2015,3
"India","Andaman and Nicobar Islands","Present: no details",1989,3
"India","Andhra Pradesh","Present: no details",1990,3
"India","Arunachal Pradesh","Present: no details",2014,3
"India","Assam","Present: no details",2015,3
"India","Bihar","Present: no details",2008,3
"India","Chhattisgarh","Present: no details",2004,3
"India","Delhi","Present: no details",2003,3
"India","Haryana","Present: no details",1996,3
"India","Himachal Pradesh","Present: no details",2016,3
"India","Jammu and Kashmir","Present: no details",1991,3
"India","Jharkhand","Present: no details",2015,3
"India","Karnataka","Present: no details",2016,3
"India","Kerala","Present: no details",2014,3
"India","Madhya Pradesh","Present: no details",1997,3
"India","Maharashtra","Present: no details",1984,3
"India","Manipur","Present: no details",2001,3
"India","Meghalaya","Present: no details",2015,3
"India","Nagaland","Present: no details",1992,3
"India","Orissa","Present: no details",2015,3
"India","Punjab","Present: no details",2008,3
"India","Sikkim","Present: no details",1999,3
"India","Tamil Nadu","Present: no details",2014,3
"India","Tripura","Present: no details",2015,3
"India","Uttar Pradesh","Present: no details",2005,3
"India","Uttarakhand","Present: no details",2002,3
"India","West Bengal","Present: no details",2014,3
"Indonesia",NA,"Present: no details",2017,3
"Iran",NA,"Present: no details",2014,3
"Iraq",NA,"Present: no details",1952,3
"Japan",NA,"Present: no details",2014,3
"Kazakhstan",NA,"Present: no details",1979,3
"Korea",NA,"Present: no details",1995,3
"Laos",NA,"Present: no details",2014,3
"Malaysia",NA,"Present: no details",2016,3
"Myanmar",NA,"Present: no details",2015,3
"Nepal",NA,"Present: no details",2014,3
"Pakistan",NA,"Present: no details",1997,3
"Philippines",NA,"Present: no details",2014,3
"Sri Lanka",NA,"Present: no details",1991,3
"Taiwan",NA,"Present: no details",2013,3
"Thailand",NA,"Present: no details",2015,3
"Turkey",NA,"Present: no details",1983,3
"Uzbekistan",NA,"Present: no details",1976,3
"Vietnam",NA,"Present: no details",1999,3
"Vietnam",NA,"Present: no details",2005,3
"Vietnam",NA,"Present: no details",2006,3
"Angola",NA,"Present: no details",1963,3
"Benin",NA,"Present: widespread",2014,6
"Burkina Faso",NA,"Present: no details",2014,3
"Burundi",NA,"Present: no details",1992,3
"Cameroon",NA,"Present: no details",1991,3
"Chad",NA,"Present: no details",1965,3
"Congo",NA,"Present: no details",1995,3
"Cote d'Ivoire",NA,"Present: widespread",2014,6
"Egypt",NA,"Present: no details",1993,3
"Ethiopia",NA,"Present: no details",2014,3
"Gabon",NA,"Present: no details",1984,3
"Gambia",NA,"Present: no details",2002,3
"Ghana",NA,"Present: no details",1940,3
"Guinea",NA,"Present: no details",1984,3
"Kenya",NA,"Present: no details",2013,3
"Liberia",NA,"Present: no details",1991,3
"Madagascar",NA,"Present: no details",1990,3
"Malawi",NA,"Present: no details",1972,3
"Mali",NA,"Present: no details",2014,3
"Mauritius",NA,"Present: no details",1973,3
